resource_group,operation_name,rest_method,rest_path,python_method,python_package,javascript_method,javascript_package,csharp_method,csharp_package,java_method,java_package,parity_notes
Agents,Create agent,POST,/agents?api-version=v1,client.agents.create_version(...),azure-ai-projects,client.agents.createVersion(...),@azure/ai-projects,projectClient.AgentAdministrationClient.CreateAgentVersionAsync(...),Azure.AI.Projects,agentsClient.createAgentVersion(...),com.azure:azure-ai-agents,"Current SDKs create a versioned definition; older samples often use create_agent() or createAgent()."
Agents,List agents,GET,/agents?api-version=v1,client.agents.list(),azure-ai-projects,client.agents.list(),@azure/ai-projects,projectClient.AgentAdministrationClient.GetAgentsAsync(),Azure.AI.Projects,agentsClient.listAgents(),com.azure:azure-ai-agents,"Supports cursor pagination; the service defaults to small pages."
Agents,Get agent,GET,/agents/{agent_name}?api-version=v1,client.agents.get(agent_name),azure-ai-projects,client.agents.get(agentName),@azure/ai-projects,projectClient.AgentAdministrationClient.GetAgentAsync(agentName),Azure.AI.Projects,agentsClient.getAgent(agentName),com.azure:azure-ai-agents,"Returns the latest visible agent metadata."
Agents,Update agent,POST,/agents/{agent_name}?api-version=v1,client.agents.update_version(...),azure-ai-projects,client.agents.updateVersion(...),@azure/ai-projects,projectClient.AgentAdministrationClient.UpdateAgentVersionAsync(...),Azure.AI.Projects,agentsClient.updateAgentVersion(...),com.azure:azure-ai-agents,"Some SDKs treat an unchanged definition as a no-op and return the current version."
Agents,Delete agent,DELETE,/agents/{agent_name}?api-version=v1,client.agents.delete(agent_name),azure-ai-projects,client.agents.delete(agentName),@azure/ai-projects,projectClient.AgentAdministrationClient.DeleteAgentAsync(agentName),Azure.AI.Projects,agentsClient.deleteAgent(agentName),com.azure:azure-ai-agents,"Deletes the agent container record and associated versions subject to service rules."
Agents,List agent versions,GET,/agents/{agent_name}/versions?api-version=v1,client.agents.list_versions(agent_name),azure-ai-projects,client.agents.listVersions(agentName),@azure/ai-projects,projectClient.AgentAdministrationClient.GetAgentVersionsAsync(agentName),Azure.AI.Projects,agentsClient.listAgentVersions(agentName),com.azure:azure-ai-agents,"Used for rollback, promotion, and audit workflows."
Agents,Get agent version,GET,/agents/{agent_name}/versions/{agent_version}?api-version=v1,client.agents.get_version(agent_name, agent_version),azure-ai-projects,client.agents.getVersion(agentName, agentVersion),@azure/ai-projects,projectClient.AgentAdministrationClient.GetAgentVersionAsync(agentName, agentVersion),Azure.AI.Projects,agentsClient.getAgentVersion(agentName, agentVersion),com.azure:azure-ai-agents,"Version identifiers are typically strings even when they look numeric."
Agents,Delete agent version,DELETE,/agents/{agent_name}/versions/{agent_version}?api-version=v1,client.agents.delete_version(agent_name, agent_version),azure-ai-projects,client.agents.deleteVersion(agentName, agentVersion),@azure/ai-projects,projectClient.AgentAdministrationClient.DeleteAgentVersionAsync(agentName, agentVersion),Azure.AI.Projects,agentsClient.deleteAgentVersion(agentName, agentVersion),com.azure:azure-ai-agents,"Use when cleaning up superseded or failed versions."
Agents,Import agent from manifest,POST,/agents:import?api-version=2025-11-15-preview,client.agents.import_agent(...),azure-ai-projects,client.agents.importAgent(...),@azure/ai-projects,projectClient.AgentAdministrationClient.ImportAgentAsync(...),Azure.AI.Projects,agentsClient.importAgent(...),com.azure:azure-ai-agents,"Preview-only surface; parameter names can vary slightly by SDK generation."
Threads,Create thread,POST,/threads?api-version=2025-04-01-preview,client.agents.create_thread(),azure-ai-projects,client.agents.createThread(),@azure/ai-projects,persistentAgentsClient.Threads.CreateThreadAsync(),Azure.AI.Agents.Persistent,agentsClient.createThread(),com.azure:azure-ai-agents,"Thread operations are commonly exposed from a persistent-agents subclient rather than the project root."
